no_individuals,no_markers,time_PyMSQ,time_gamevar,peak_memory_usage_PyMSQ,peak_memory_usage_gamevar
500,27500,62.15,20281.2715,10.22745514,8.457023621
500,27500,62.15,20296.4043,10.21774673,8.457103729
500,27500,60.15,20279.8457,10.16499329,8.457046509
500,27500,58.14,20288.3008,10.17093658,8.45721817
500,27500,56.13,20323.6777,10.17271042,8.457324982
500,27500,58.14,20379.6074,10.22774887,8.457183838
500,27500,56.14,20440.0039,10.17095184,8.457035065
500,30000,74.13,24135.7129,14.46584702,10.06373978
500,30000,74.17,24079.9883,13.14403534,10.06394196
500,30000,72.17,24085.334,13.14645386,10.06380463
500,30000,72.13,24211.7676,14.51170349,10.06394577
500,30000,72.22,24287.0215,12.3142128,10.06380463
500,30000,76.13,24168.8457,14.42707825,10.06380081
500,30000,74.13,24298.1289,12.35903549,10.06389618
500,30000,76.13,24328.8672,12.65823364,10.06386185
500,30000,74.13,24391.5,12.54850006,10.06394196
500,30000,74.17,24545.127,13.90550995,10.06379318
500,32500,82.19,28178.2988,16.18535233,11.81027222
500,32500,82.14,28257.5039,16.40806961,11.81032181
500,32500,80.18,28261.4082,15.91828537,11.81041336
500,32500,80.17,28298.2793,16.09966278,11.8103981
500,32500,82.16,28376.0996,16.0976181,11.81044388
500,32500,80.18,28435.4258,16.03544617,11.81020737
500,32500,80.16,28452.5801,16.06473541,11.81025314
500,32500,80.18,28467.2793,16.03356552,11.8105011
500,32500,78.17,28493.5293,16.00990677,11.81050491
500,32500,78.18,28530.957,16.00642395,11.81041336
500,35000,96.2,33158.1562,17.76226044,13.69649124
500,35000,98.21,33223.3203,18.92457199,13.69658661
500,35000,96.21,33417.7383,18.76072311,13.69667816
500,35000,96.21,33403.0273,18.79787064,13.69658661
500,35000,96.2,33488.1055,18.84435654,13.69642258
500,35000,96.2,33542.793,18.83675385,13.69642639
500,35000,96.21,33548.4062,18.72779465,13.69643784
500,35000,96.2,33699.5508,18.792099,13.6965065
500,35000,96.2,33573.7539,18.80540085,13.69658661
500,35000,98.21,33746.9492,18.68471909,13.69653702
500,37500,112.23,37820.3359,21.07512665,15.72228622
500,37500,112.23,37737.4766,21.20685959,15.72232437
500,37500,112.23,37928.0547,21.25001144,15.72243118
500,37500,110.23,37957.2344,21.28283691,15.72224808
500,37500,110.23,38026.7422,21.30670166,15.72253799
500,37500,112.23,37967.4102,21.36973572,15.72228622
500,37500,110.23,38161.4102,21.24474335,15.72229767
500,37500,110.23,38193.0977,21.35702896,15.72229004
500,37500,110.23,38506.5508,21.31219482,15.72245026
500,37500,110.22,38385.1094,21.26942825,15.72240448
500,40000,132.24,46617.0664,24.259655,17.88792038
500,40000,128.31,46550.5938,23.49898529,17.8878746
500,40000,128.2,46844.7227,24.27952957,17.88799286
500,40000,130.2,46775.7188,24.0178833,17.88787079
500,40000,128.22,46917.2656,22.97554779,17.88810349
500,40000,130.31,47040.2109,23.00717545,17.88810349
500,40000,126.28,46749.2383,23.41324234,17.88801575
500,40000,130.31,47003.9688,23.44438171,17.88791656
500,40000,128.3,47095.1445,23.5969696,17.88785172
500,40000,128.3,47022.4102,23.64025497,17.88796234
500,42500,140.28,48466.1797,25.64639282,20.19313049
500,42500,140.24,48435.8906,26.8212471,20.19319534
500,42500,140.24,48496.8047,26.82107925,20.19330978
500,42500,140.24,48382.4414,26.79969406,20.19306946
500,42500,140.24,48534.1016,26.77109528,20.19312668
500,42500,142.25,48630.7148,26.86632919,20.19311142
500,42500,140.24,48697.3203,26.75308228,20.1931839
500,42500,142.24,48673.0781,26.82148743,20.19330597
500,42500,140.29,48729.9492,26.06400681,20.19336319
500,42500,142.29,48894.1719,26.24120331,20.19307327
500,45000,156.29,54392.3984,30.51639175,22.63801575
500,45000,160.29,54104.0195,30.6689415,22.63816071
500,45000,160.3,54234.375,30.50696945,22.63816833
500,45000,160.28,54543.0234,30.79394531,22.63805389
500,45000,158.28,54315.0508,30.85287476,22.63813782
500,45000,158.28,54604.8633,30.91908264,22.63821793
500,45000,162.29,54550.8047,30.78242111,22.63820267
500,45000,158.28,54651.3672,31.1038475,22.63805771
500,45000,160.25,54517.543,30.04640579,22.63806915
500,45000,158.28,54972.5547,30.53094101,22.63818741
500,47500,180.31,58997.3086,33.18854523,25.22267532
500,47500,180.31,58837.0859,33.43170166,25.22267532
500,47500,180.32,58932.6719,33.53347778,25.22272873
500,47500,180.31,59091.1602,33.42243195,25.22278976
500,47500,180.31,59087.3828,33.58963013,25.22273254
500,47500,182.3,59252.332,34.20475388,25.2228775
500,47500,180.32,59704.5859,33.56612015,25.22301865
500,47500,182.33,59765.5586,33.49485779,25.22291183
500,47500,180.31,59346.1992,33.54954147,25.22290802
500,47500,180.31,59502.5977,33.51070786,25.22273254
500,50000,194.34,64398.9844,38.1490097,27.94709015
500,50000,196.34,64188.3867,35.13335419,27.94737244
500,50000,198.34,64591.6328,35.10403824,27.94726181
500,50000,192.33,64303.1211,35.00644302,27.9470253
500,50000,190.37,65124.1602,35.10642624,27.94736862
500,50000,196.34,64898.0352,35.04723358,27.94731903
500,50000,196.34,64669.2539,35.50698471,27.94723129
500,50000,194.31,65300.5508,37.80752563,27.94723129
500,50000,194.34,64793.5898,38.3850174,27.94722748
500,50000,194.38,65064.6406,38.2395134,27.94704056
