no_individuals,no_markers,time_PyMSQ,time_gamevar,peak_memory_usage_PyMSQ,peak_memory_usage_gamevar
70000,1000,50.32,1360.26501,3.61410141,0.014549255
70000,1000,50.3,1372.14502,3.617038727,0.014457703
70000,1000,50.29,1363.75,3.622890472,0.014434814
70000,1000,50.32,1377.46204,3.628543854,0.014759064
70000,1000,48.31,1381.69604,3.630943298,0.014629364
70000,1000,48.3,1384.03296,3.6316185,0.014568329
70000,1000,50.31,1341.23804,3.634349823,0.014629364
70000,1000,48.29,1340.88306,3.64125824,0.014457703
70000,1000,48.34,1366.95105,3.641731262,0.014614105
70000,1000,48.4,1352.40295,3.644477844,0.01461792
75000,1000,52.32,1437.93103,3.861881256,0.014438629
75000,1000,52.3,1455.23596,3.871963501,0.014602661
75000,1000,52.62,1452.04797,3.873722076,0.014465332
75000,1000,54.82,1444.51794,3.870864868,0.014678955
75000,1000,52.32,1442.599,3.872875214,0.014499664
75000,1000,52.32,1490.16101,3.873512268,0.014663696
75000,1000,52.34,1486.64099,3.875648499,0.014472961
75000,1000,54.32,1423.23999,3.879570007,0.01449585
75000,1000,54.35,1470.31799,3.879798889,0.014469147
75000,1000,54.35,1420.51294,3.879886627,0.01468277
80000,1000,56.37,1541.30396,4.095001221,0.014507294
80000,1000,56.43,1560.57898,4.10086441,0.014549255
80000,1000,56.37,1563.31702,4.10067749,0.014720917
80000,1000,56.47,1570.95605,4.103294373,0.014701843
80000,1000,54.37,1590.60999,4.103019714,0.014575958
80000,1000,56.37,1555.17395,4.105113983,0.014621735
80000,1000,56.37,1545.91895,4.10521698,0.014621735
80000,1000,56.37,1561.21106,4.105384827,0.014698029
80000,1000,56.37,1553.646,4.105499268,0.014751434
80000,1000,56.45,1558.36499,4.10572052,0.01461792
85000,1000,60.44,1638.65601,4.320831299,0.01473999
85000,1000,60.46,1638.31604,4.323020935,0.014656067
85000,1000,60.39,1662.66602,4.325656891,0.014514923
85000,1000,60.4,1643.81494,4.325691223,0.014610291
85000,1000,60.35,1619.01001,4.327476501,0.014743805
85000,1000,58.83,1675.56104,4.327278137,0.014659882
85000,1000,60.42,1603.91797,4.328075409,0.014816284
85000,1000,58.36,1685.00696,4.324619293,0.014507294
85000,1000,58.47,1652.36902,4.325550079,0.01473999
85000,1000,58.37,1645.18896,4.331214905,0.01473999
90000,1000,64.37,1762.33301,4.547595978,0.01461792
90000,1000,62.38,1774.802,4.551193237,0.014579773
90000,1000,62.37,1683.12805,4.553535461,0.014579773
90000,1000,64.4,1766.92505,4.558200836,0.014572144
90000,1000,62.43,1818.86401,4.534442902,0.014717102
90000,1000,62.81,1767.78198,4.539329529,0.014778137
90000,1000,60.96,1757.58496,4.54108429,0.014904022
90000,1000,62.76,1803.47803,4.541351318,0.014846802
90000,1000,62.84,1730.17505,4.55015564,0.014686584
90000,1000,62.88,1708.63501,4.553882599,0.014778137
95000,1000,68.42,1828.32605,4.770103455,0.014808655
95000,1000,66.45,1917.97803,4.774814606,0.014724731
95000,1000,66.71,1884.73804,4.774616241,0.014640808
95000,1000,66.6,1828.90198,4.777103424,0.014812469
95000,1000,64.51,1838.84802,4.779808044,0.014621735
95000,1000,66.44,1825.56299,4.780330658,0.01480484
95000,1000,66.79,1816.56201,4.780052185,0.014644623
95000,1000,66.68,1867.81104,4.780490875,0.014724731
95000,1000,66.78,1814.42505,4.780330658,0.014724731
95000,1000,66.69,1823.46802,4.72379303,0.014888763
100000,1000,68.52,1905.93896,4.94102478,0.014789581
100000,1000,68.77,1862.56006,4.957313538,0.014923096
100000,1000,70.9,1872.93005,4.96598053,0.01492691
100000,1000,68.69,1842.14404,4.967006683,0.014759064
100000,1000,70.65,1868.59802,4.973556519,0.014839172
100000,1000,70.64,1857.44995,4.977359772,0.014720917
100000,1000,70.61,1833.16895,4.977645874,0.014789581
100000,1000,68.55,1813.11304,4.981563568,0.014793396
100000,1000,68.63,1821.27698,4.981658936,0.01492691
100000,1000,70.56,1802.49805,4.981704712,0.014923096
